firm,year,lk,llabor,lfuel,lny,trend,llabor2,lfuel2,lk2,labfue2,labk2,fuek2
2,91,-2.5160315,-1.7275328,-1.5725326,-1.6120336,6,1.4921848,1.2364295,3.1652073,2.7166017,4.346527,3.9565417
2,92,-2.5099978,-1.8752109,-1.5929825,-1.6686631,7,1.758208,1.2687966,3.1500445,2.9871782,4.7067753,3.9983825
2,93,-2.5197078,-1.7256792,-1.9653937,-2.13205,8,1.4889843,1.9313861,3.1744637,3.3916389,4.3482073,4.9522178
2,94,-2.5235632,-1.9986551,-1.9172246,-2.062914,9,1.9973111,1.837875,3.1841856,3.8318707,5.0437324,4.8382374
2,95,-2.521083,-2.061411,-1.8678205,-2.1833688,10,2.1247076,1.7443766,3.1779298,3.8503456,5.1969883,4.7089304
2,96,-2.4666117,-2.1737039,-2.1982531,-2.4354356,11,2.3624944,2.4161583,3.0420867,4.7783513,5.3616836,5.4222368
3,86,-.36640729,-.31785887,.13715992,-.05566024,1,.05051713,.00940642,.06712715,-.0435975,.11646581,-.05025639
3,87,-.38039535,-.21954632,.29226818,.0113247,2,.02410029,.04271034,.07235031,-.0641664,.0835144,-.11117746
3,88,-.38286262,-.02025791,.22688573,.01527341,3,.00020519,.02573857,.07329189,-.00459623,.007756,-.08686606
3,89,-.41436804,-.0734656,.17813242,.06398043,4,.0026986,.01586558,.08585044,-.01308661,.0304418,-.07381238
3,90,-.42009582,.04612946,.14837913,-.01189046,5,.00106396,.01100818,.08824025,.00684465,-.0193788,-.06233345
3,91,-.4217656,.01511184,.19346195,.00459843,6,.00011418,.01871376,.08894311,.00292357,-.00637365,-.08159559
3,92,-.42055216,.09197665,.0870175,-.11026459,7,.00422985,.00378602,.08843206,.00800358,-.03868098,-.0365954
3,93,-.3718998,-.07559709,-.01408312,-.14935521,8,.00285746,.00009917,.06915473,.00106464,.02811454,.00523751
3,94,-.37703072,-.04271545,-.0500791,-.20655068,9,.0009123,.00125396,.07107608,.00213915,.01610504,.01888136
3,95,-.38237776,-.22779373,.08595008,-.15556232,10,.02594499,.00369371,.07310637,-.01957889,.08710326,-.0328654
3,96,-.39410277,-.605692,-.01526417,.06880652,11,.1834314,.0001165,.0776585,.00924539,.23870489,.00601565
4,86,.17380002,.81080623,-.15325858,-.5390139,1,.32870337,.0117441,.01510322,-.12426301,.14091814,-.02663634
4,87,.12922867,.74210645,-.0680344,-.3154432,2,.27536099,.00231434,.00835002,-.05048877,.09590143,-.00879199
4,88,.12411569,.72388809,-.08584757,-.27649452,3,.26200698,.0036849,.00770235,-.06214403,.08984587,-.01065503
4,89,.10654114,.6752418,-.04045015,-.25291074,4,.22797574,.00081811,.00567551,-.02731363,.07194103,-.0043096
4,90,.08534384,.90580986,-.29621499,-.53286461,5,.41024575,.04387166,.00364179,-.26831446,.07730529,-.02528013
4,91,.09382137,.79141978,-.4014949,-.60312121,6,.31317264,.08059908,.00440122,-.31775101,.07425209,-.0376688
4,92,.07315198,.63132396,-.45407452,-.51155403,7,.19928497,.10309183,.00267561,-.28666812,.0461826,-.03321645
4,93,.07660739,.65318087,-.10574712,-.26412055,8,.21332262,.00559123,.00293435,-.069072,.05003848,-.00810101
4,94,.07176729,.49271882,.02356456,-.18190927,9,.12138592,.00027764,.00257527,.0116107,.0353611,.00169116
4,95,.08295541,.08017797,-.12093169,-.22243354,10,.00321425,.00731224,.0034408,-.00969606,.0066512,-.01003194
4,96,.10206485,-.20608491,-.12023606,-.2166523,11,.0212355,.00722836,.00520862,.02477884,-.02103403,-.01227188
5,86,-.14884674,.89630192,-.44177053,-.29468564,1,.40167856,.0975806,.01107768,-.39595978,-.13341162,.0657561
5,87,-.15012214,.69039993,-.5471164,-.24147621,2,.23832603,.14966818,.01126833,-.37772912,-.10364431,.08213428
5,88,-.16435901,.49593684,-.58678958,-.24286057,3,.12297667,.17216101,.01350694,-.29101057,-.08151169,.09644415
5,89,-.17526319,.52794908,-.27049149,.01465085,4,.13936511,.03658282,.01535859,-.14280573,-.09253004,.0474072
5,90,-.19716543,.22287296,-.37710539,-.02182189,5,.02483618,.07110424,.0194371,-.08404659,-.04394284,.07435215
5,91,-.20691879,.30198159,-.53388361,-.13426789,6,.04559644,.14251586,.02140769,-.16122302,-.06248566,.11047055
5,92,-.22263495,.25276478,-.42885837,-.08528401,7,.03194502,.09195975,.02478316,-.10840029,-.05627427,.09547886
5,93,-.24418772,.23389384,-.53425176,-.06474652,8,.02735316,.14271247,.02981382,-.12495819,-.057114,.13045772
5,94,-.26723628,.15123808,-.35938353,-.08550213,9,.01143648,.06457826,.03570762,-.05435247,-.0404163,.09604032
5,95,-.28355145,-.05448442,-.62109219,-.19902523,10,.00148428,.19287776,.04020071,.03383985,.01544914,.17611159
5,96,-.30891095,-.04133997,-.61738411,-.23229857,11,.0008545,.19058157,.04771299,.02552264,.01277037,.19071671
6,86,-1.1222856,-.59427701,-1.1581931,-1.3804283,1,.17658259,.67070557,.6297625,.68828751,.66694855,1.2998234
6,87,-1.1488831,-.74000059,-1.2830601,-1.2881468,2,.27380044,.8231216,.65996615,.94946523,.85017415,1.474086
6,88,-1.1258016,-.59607077,-1.2055853,-1.3202976,3,.17765018,.72671794,.63371458,.71861415,.67105741,1.3572498
6,89,-1.0626274,-.68749858,-1.1713355,-1.1046936,4,.23632715,.68601347,.56458849,.80529151,.73055482,1.2446932
6,90,-1.0401712,-.63450188,-1.0462133,-1.4973692,5,.20129632,.54728119,.54097804,.66382433,.65999057,1.088241
6,91,-1.0491027,-.6777106,-1.1134148,-1.4976411,6,.22964583,.61984629,.55030826,.75457303,.71098804,1.1680865
6,92,-1.0572102,-.6920994,-1.6583022,-1.5854551,7,.23950079,1.3749832,.5588467,1.14771,.73169455,1.753174
6,93,-1.0487396,-1.0196523,-1.898681,-1.568398,8,.51984542,1.8024948,.5499274,1.9359945,1.0693498,1.991222
6,94,-1.0680612,-1.1015249,-1.4890218,-1.5529151,9,.60667856,1.1085929,.57037738,1.6401946,1.176496,1.5903664
6,95,-.91474627,-1.260316,-1.9502696,-1.5033922,10,.79419815,1.9017757,.41838037,2.4579559,1.1528693,1.7840018
6,96,-.90558912,-1.3226863,-1.5310631,-1.4775709,11,.87474949,1.1720771,.41004583,2.0251162,1.1978103,1.3865141
7,86,-.02982497,.12830133,.22322393,-.10647621,1,.00823062,.02491446,.00044476,.02863993,-.00382658,-.00665765
7,87,-.02107185,.07895992,.26348371,-.02036895,2,.00311733,.03471183,.00022201,.02080465,-.00166383,-.00555209
7,88,-.00413862,.31168571,.43333148,.19344945,3,.04857399,.09388809,8.564e-06,.13506323,-.00128995,-.00179339
7,89,.00418202,.00532067,.53785162,.27973923,4,.00001415,.14464218,8.745e-06,.00286173,.00002225,.00224931
7,90,-.00926066,.19287612,.56090476,.27149408,5,.0186006,.15730708,.00004288,.10818514,-.00178616,-.00519435
7,91,-.01040333,-.0406529,.54298782,.20830403,6,.00082633,.14741789,.00005411,-.02207403,.00042293,-.00564888
7,92,.00667587,-.06815681,.29665478,-.00009274,7,.00232268,.04400203,.00002228,-.02021904,-.00045501,.00198043
7,93,.00182327,-.26405402,-.0640739,-.3176152,8,.03486226,.00205273,1.662e-06,.01691897,-.00048144,-.00011682
7,94,-.00048573,-.55618281,-.20187581,-.43484897,9,.15466966,.02037692,1.180e-07,.11227986,.00027016,.00009806
7,95,-.02094986,-.96021137,-.45870954,-.47623388,10,.46100293,.10520722,.00021945,.44045811,.02011629,.0096099
7,96,-.01892113,-.90982282,-.51142215,-.53762558,11,.41388878,.13077631,.000179,.46530354,.01721488,.00967668
8,86,-1.1443921,-1.0381031,-1.0826801,-.98903461,1,.53882899,.58609815,.65481659,1.1239336,1.1879969,1.2390106
8,87,-1.1633984,-1.0251519,-1.0544536,-.93422781,2,.52546821,.55593624,.67674796,1.0809752,1.1926601,1.2267497
8,88,-1.1838204,-1.0588,-1.1509304,-.95568341,3,.56052867,.66232043,.70071534,1.2186051,1.253429,1.3624949
8,89,-1.1971113,-1.0750916,-1.1874037,-.97949408,4,.57791101,.70496373,.7165377,1.2765677,1.2870043,1.4214543
8,90,-1.2250254,-1.0809055,-1.1914804,-.94275565,5,.5841784,.70981276,.75034367,1.2878778,1.3241368,1.4595938
8,91,-1.2488282,-1.0242332,-1.1112113,-.89212327,6,.52452681,.61739528,.779786,1.1381395,1.2790913,1.3877121
8,92,-1.2603661,-1.135837,-1.1368738,-.91259087,7,.64506288,.64624102,.79426137,1.2913034,1.4315705,1.4328772
8,93,-1.2805798,-1.1440845,-1.1382201,-.93957186,8,.65446465,.64777248,.81994232,1.3022199,1.4650915,1.4575817
8,94,-1.3102803,-1.1104936,-1.055184,-.86541606,9,.616598,.55670663,.85841726,1.1717751,1.4550579,1.3825868
8,95,-1.3298949,-1.0664336,-1.0522878,-.87060048,10,.56864027,.55365486,.88431025,1.1221951,1.4182446,1.3994323
8,96,-1.306609,-1.1842166,-1.152247,-.80669511,11,.70118443,.66383656,.85361358,1.36451,1.547308,1.5055363
9,86,-.21567391,-.12479626,-.31886807,-.32129774,1,.00778705,.05083842,.02325762,.03979354,.0269153,.06877153
9,87,-.23660461,-.06921635,-.50872652,-.34663708,2,.00239545,.12940134,.02799087,.03521219,.01637691,.12036704
9,88,-.26198347,-.00126048,-.48277437,-.37603135,3,7.944e-07,.11653555,.03431767,.00060853,.00033022,.12647891
9,89,-.28218506,-.31967297,-.4869926,-.32276035,4,.0510954,.1185809,.03981421,.15567837,.09020694,.13742204
9,90,-.30231223,.06916194,-.4803292,-.3287662,5,.00239169,.11535807,.04569634,-.0332205,-.0209085,.14520939
9,91,-.31886782,-.24660308,-.52282381,-.34939875,6,.03040654,.13667237,.05083834,.12892996,.07863378,.16671169
9,92,-.3372537,.20530532,-.52070688,-.36604638,7,.02107514,.13556783,.05687003,-.10690389,-.06923998,.17561032
9,93,-.30824535,-.33892195,-.38191561,-.21550963,8,.05743404,.07292977,.0475076,.12943958,.10447111,.11772371
9,94,-.3326077,.00038879,-.31306428,-.18331776,9,7.558e-08,.04900462,.05531394,-.00012171,-.00012931,.10412759
9,95,-.3333777,-.08023082,-.36999454,-.24009141,10,.00321849,.06844798,.05557035,.02968496,.02674717,.12334793
9,96,-.3578489,-.19640743,-.32558062,-.09591092,11,.01928794,.05300137,.06402792,.06394645,.07028418,.11650866
10,86,-.85977578,-1.6910989,-.65732704,-.90357544,1,1.4299077,.21603942,.3696072,1.111605,1.4539659,.56515387
10,87,-.39869805,-1.5280434,-.95222857,-.92054055,2,1.1674583,.45336962,.07948007,1.4550466,.60922792,.37965167
10,88,-.42801105,-1.547998,-.83364911,-.87459925,3,1.1981489,.34748542,.09159673,1.2904871,.66256025,.35681103
10,89,-.45489533,-1.5099706,-.83396849,-.86418144,4,1.1400057,.34775172,.10346488,1.2592679,.68687859,.37936837
10,90,-.48293284,-1.4133045,-.9150188,-.86986169,5,.99871482,.4186297,.11661207,1.2932002,.68253117,.44189263
10,91,-.51002043,-1.2934158,-.78643825,-.78269632,6,.83646227,.30924256,.13006042,1.0171917,.6596685,.40109958
10,92,-.53840784,-1.5189662,-.76370107,-.80470789,7,1.1536291,.29161966,.1449415,1.1600361,.8178233,.41118264
10,93,-.56758567,-1.5810979,-.74905336,-.8760233,8,1.2499353,.28054047,.16107675,1.1843267,.89740852,.42515195
10,94,-.59300274,-1.4548042,-.70658952,-.77143555,9,1.0582277,.24963438,.17582612,1.0279494,.86270289,.41900952
10,95,-.62050112,-1.4733365,-.78471365,-.76893063,10,1.0853602,.30788776,.19251082,1.1561472,.91420693,.4869157
10,96,-.64973191,-1.484914,-.79746459,-.9246557,11,1.1024848,.31797488,.21107577,1.1841663,.964796,.51813819
11,86,1.0303179,1.1777753,.69879725,.58938089,1,.69357735,.2441588,.53077749,.82302616,1.213483,.71998332
11,87,1.0101304,.98668267,.63278075,.46214303,2,.48677134,.20020574,.51018174,.6243538,.99667819,.6391911
11,88,.98663637,.90820608,.33859881,.24916565,3,.41241914,.05732458,.48672566,.30751749,.89606914,.3340739
11,89,.96828436,.81694303,.24789383,.04848634,4,.33369796,.03072568,.4687873,.20251514,.79103316,.24003172
11,90,.93239605,.78647633,.39298577,.19880925,5,.30927251,.07721891,.4346812,.30907401,.73330742,.36641838
11,91,.91216922,.86542098,.57729114,.23959759,6,.37447674,.16663253,.41602634,.49959986,.78941038,.5265872
11,92,.89352055,.82809683,.27088868,-.06938529,7,.34287218,.03669034,.39918948,.22432206,.73992153,.2420446
11,93,.87777031,.71505629,.82925827,.50720717,8,.25565275,.34383464,.38524036,.59296634,.62765518,.72789829
11,94,.86276316,.72180766,.78197528,.60494981,9,.26050315,.30574267,.37218013,.56443575,.62274906,.67465946
11,95,.85682016,.69403025,.72917552,.60220814,10,.24083899,.26584847,.36707039,.50606987,.59465911,.62477229
11,96,.84864328,.70141524,.81052476,.74723485,11,.24599167,.3284752,.36009771,.56851442,.59525133,.68784639
12,86,.19418426,.15576296,.28862487,.31317576,1,.01213105,.04165216,.01885376,.04495706,.03024672,.05604641
12,87,.16963138,.02737799,.31958674,.28625322,2,.00037478,.05106784,.0143874,.00874964,.00464417,.05421194
12,88,.14396542,.2103944,.25354427,.29611662,3,.0221329,.03214235,.01036302,.05334429,.03028952,.03650161
12,89,.11689048,.09437972,.24178771,.28914254,4,.00445377,.02923065,.00683169,.02281986,.01103209,.02826268
12,90,.08753204,.06329862,.1373682,.21488355,5,.00200336,.00943501,.00383093,.00869522,.00554066,.01202412
12,91,.04856703,.03377394,.13856335,.21363353,6,.00057034,.0095999,.00117938,.00467983,.0016403,.00672961
12,92,.01654058,.12394151,.17836459,.24527012,7,.00768075,.01590696,.0001368,.02210678,.00205006,.00295025
12,93,-.00503531,.02158647,.13301873,.22338548,8,.00023299,.00884699,.00001268,.0028714,-.00010869,-.00066979
12,94,-.02820927,.03058102,.19876434,.27779162,9,.0004676,.01975363,.00039788,.00607842,-.00086267,-.005607
12,95,-.04453468,-.0874019,.16290484,.20140862,10,.00381955,.01326899,.00099167,-.01423819,.00389242,-.00725491
12,96,-.04215758,-.1233032,.15894802,.25258495,11,.00760184,.01263224,.00088863,-.0195988,.00519816,-.00670086
13,86,-.1665071,-.23610981,-.26171143,-.05664329,1,.02787392,.03424644,.01386231,.06179264,.03931396,.04357681
13,87,-.18918473,-.01154764,-.213392,-.00462121,2,.00006667,.02276807,.01789543,.00246417,.00218464,.04037051
13,88,-.21131273,.19178796,-.13870288,.04080785,3,.01839131,.00961924,.02232654,-.02660154,-.04052724,.02930968
13,89,-.22768041,.27153745,-.31677102,-.01378826,4,.03686629,.05017194,.02591918,-.08601519,-.06182376,.07212256
13,90,-.22355847,.03281713,-.34798846,-.01288549,5,.00053848,.06054798,.02498919,-.01141998,-.00733655,.07779577
13,91,-.2466037,.10719855,-.18324359,.03428337,6,.00574576,.01678911,.03040669,-.01964345,-.02643556,.04518855
13,92,.47964939,.15322028,-.29158229,.01153149,7,.01173823,.04251012,.11503177,-.04467632,.07349201,-.13985727
13,93,.45783653,.04171168,-.22958949,.08847701,8,.00086993,.02635567,.10480715,-.00957656,.01909713,-.10511446
13,94,.43542347,.08866283,-.24185324,.07160661,9,.00393055,.02924649,.0947968,-.02144339,.03860588,-.10530858
13,95,.41301186,-.07488609,-.11862928,.15098094,10,.00280396,.00703645,.0852894,.00888368,-.03092884,-.0489953
13,96,.39061869,-.22366149,-.1848279,.18009446,11,.02501223,.01708068,.07629148,.04133888,-.08736636,-.07219723
14,86,-.45867114,.44189193,-.27742498,-.20147977,1,.09763424,.03848231,.10518961,-.12259186,-.20268308,.12724683
14,87,-.45902465,.33459845,-.34176415,-.21662292,2,.05597806,.05840137,.10535182,-.11435376,-.15358894,.15687817
14,88,-.48054064,.17255131,-.33790974,-.22921905,3,.01488698,.0570915,.11545965,-.05830677,-.08291792,.16237936
14,89,-.47987735,.01381185,-.33380106,-.29443092,4,.00009538,.05571157,.11514114,-.00461041,-.00662799,.16018357
14,90,-.48832911,.00302215,-.53175629,-.34385059,5,4.567e-06,.14138237,.11923266,-.00160705,-.00147581,.25967207
14,91,-.48734367,-.15629197,-.37619552,-.19176928,6,.01221359,.07076153,.11875193,.05879634,.0761679,.1833365
14,92,-.50932626,-.24871505,-.38890734,-.19835816,7,.03092959,.07562446,.12970662,.09672711,.12667711,.19808072
14,93,-.52933617,-.13493339,-.31471002,-.15084836,8,.00910351,.0495212,.14009839,.04246489,.07142512,.1665874
14,94,-.52536861,-.32376668,-.32341619,-.18398084,9,.05241243,.05229902,.13800609,.10471139,.17009685,.16991272
14,95,-.51878584,-.34495589,-.36448629,-.26643043,10,.05949728,.06642513,.13456938,.12573169,.17895823,.18909033
14,96,-.52222376,-.33016813,-.42768739,-.23574827,11,.0545055,.09145825,.13635883,.14120875,.17242164,.22334852
15,86,1.174613,.63587337,.85015373,.62723086,1,.20216747,.36138068,.68985785,.54059011,.74690512,.99860162
15,87,1.1511471,.62534329,.96273585,.57426559,2,.19552712,.46343016,.66256981,.60204041,.71986211,1.1082506
15,88,1.18419,.78407063,.95862471,.70764269,3,.30738337,.45948066,.70115301,.75162947,.92848861,1.1351938
15,89,1.1912296,.81402539,1.0935043,.72283262,4,.33131867,.59787578,.70951394,.89014023,.96969112,1.3026146
15,90,1.1811767,.87040438,1.1252561,.75066133,5,.37880189,.63310065,.69758921,.97942784,1.0281014,1.3291263
15,91,1.1745122,.82405527,1.2608096,.91046582,6,.33953355,.79482042,.68973945,1.0389768,.96786297,1.4808362
15,92,1.1597223,.64750246,1.1591624,.84431338,7,.20962972,.67182874,.67247795,.75056052,.75092307,1.3443065
15,93,1.1445605,.52561265,1.2334153,.92575662,8,.13813433,.76065664,.65500932,.64829868,.60159545,1.4117184
15,94,1.1342724,.35491913,1.1356884,.85419119,9,.06298379,.64489406,.64328696,.40307754,.40257498,1.28818
15,95,1.1187387,.38655221,1.1883462,.83120008,10,.07471131,.70608337,.62578815,.45935786,.43245092,1.3294489
15,96,1.0955878,.42930783,1.2562203,.78872398,11,.09215261,.78904476,.60015628,.53930522,.47034441,1.3762996
16,86,.58156417,.05677785,.66376327,.41466642,1,.00161186,.22029084,.16910844,.03768705,.03301996,.38602094
16,87,.55320651,.10630951,.49054958,.40765274,2,.00565086,.12031945,.15301872,.05215008,.05881111,.27137522
16,88,.52723499,.11985502,.58750286,.39976085,3,.00718261,.17257981,.13898837,.07041517,.06319176,.30975206
16,89,.50070568,.16726544,.62929924,.50542602,4,.01398886,.19800877,.12535309,.10526001,.08375076,.3150937
16,90,.47611791,.06050928,.59038131,.4373247,5,.00183069,.17427505,.11334413,.03572355,.02880955,.28109112
16,91,.45729688,.16726544,.57849336,.44372196,6,.01398886,.16732729,.10456022,.09676195,.07648996,.26454321
16,92,.43656135,.15067101,.52230565,.41147666,7,.01135088,.1364016,.09529291,.07869632,.06577714,.22801846
16,93,.41917166,.19586238,.50256319,.38626088,8,.01918104,.12628488,.08785244,.09843322,.08209996,.21066024
16,94,.44912606,-.03414936,.40748473,.33452384,9,.00058309,.0830219,.10085711,-.01391534,-.01533737,.18301201
16,95,.44183119,-.11070112,.39339151,.31385198,10,.00612737,.07737844,.0976074,-.04354888,-.04891121,.17381264
16,96,.41965521,-.18246021,.51996675,.43908978,11,.01664586,.13518271,.08805525,-.09487324,-.07657038,.21820676
17,86,-1.2546019,-1.0540583,-.34643965,-.83800861,1,.5555195,.06001021,.78701293,.3651676,1.3224236,.43464383
17,87,-1.2480997,-.84866842,-.23209439,-.80559061,2,.36011905,.0269339,.77887647,.19697118,1.0592228,.28967695
17,88,-1.2667564,-.81682346,-.26278343,-.76121124,3,.33360028,.03452756,.80233587,.21464767,1.0347163,.33288258
17,89,-1.2601399,-.80864798,-.17209498,-.7352272,4,.32695577,.01480834,.79397628,.13916425,1.0190096,.21686375
17,90,-1.2651168,-.73242743,-.077226,-.74949302,5,.26822497,.00298193,.80026023,.05656244,.92660623,.09769991
17,91,-1.2832822,-.71812683,-.21055282,-.8816136,6,.25785307,.02216625,.82340655,.15120363,.92155935,.27019868
17,92,-1.3006418,-.69078272,-.45062137,-.98507994,7,.23859038,.10152981,.84583459,.31128146,.8984609,.58609701
17,93,-1.3106658,-.73380008,-.52155052,-1.1356709,8,.26923128,.13600747,.85892246,.38271382,.9617667,.68357845
17,94,-1.3139281,-.81981299,-.6298947,-1.1591541,9,.33604667,.19838367,.86320353,.51639586,1.0771753,.82763635
17,95,-1.2995257,-.76236353,-.52481495,-1.1458312,10,.29059907,.13771536,.84438348,.40009977,.99071097,.68201049
17,96,-1.3045929,-.80348003,-.3992289,-1.1235342,11,.32279008,.07969186,.85098132,.32077245,1.0482143,.52083119
18,86,1.3347641,1.1862688,1.1996312,1.1689792,1,.70361687,.71955748,.89079754,1.4230851,1.583389,1.6012246
18,87,1.4338357,1.2232332,1.1169942,1.2465177,2,.74814972,.62383797,1.0279424,1.3663443,1.7539154,1.6015861
18,88,1.4370794,1.1516449,1.023294,1.2316428,3,.66314298,.52356529,1.0325986,1.1784713,1.6550052,1.4705547
18,89,1.4397252,1.0363213,1.1200642,1.2480777,4,.53698094,.62727196,1.0364043,1.1607465,1.4920179,1.6125847
18,90,1.4286071,1.0492217,1.0380193,1.2481322,5,.55043304,.53874206,1.0204591,1.0891124,1.4989255,1.4829218
18,91,1.4147236,1.0710374,.97218555,1.2448991,6,.57356057,.47257237,1.0007215,1.0412471,1.515222,1.3753739
18,92,1.4069941,1.399537,1.0002826,1.1905836,7,.97935189,.50028261,.98981614,1.3999324,1.9691402,1.4073916
18,93,1.4022565,1.0584171,1.4498272,1.323635,8,.56012343,1.0509994,.98316171,1.5345219,1.4841724,2.0330296
18,94,1.3828791,.97319319,1.3096906,1.2719892,9,.47355249,.85764469,.95617726,1.2745819,1.3458085,1.8111437
18,95,1.3609364,.82260796,1.1794901,1.1894647,10,.33834193,.69559848,.92607389,.97025797,1.1195171,1.605211
18,96,1.3357848,.72244818,1.2313926,1.2086727,11,.26096568,.75816384,.89216056,.88961732,.96503532,1.6448755
19,86,-.28869321,-.24913791,-.40175979,-.18458549,1,.03103485,.08070546,.04167188,.10009359,.07192442,.11598532
19,87,.20245773,-.22613883,-.32765346,-.10165224,2,.02556939,.0536784,.02049457,.07409517,-.04578355,-.06633598
19,88,.17799485,-.24407465,-.2285331,-.06849051,3,.02978622,.02611369,.01584108,.05577914,-.04344403,-.04067772
19,89,.15563621,-.19721034,-.37077593,-.12250522,4,.01944596,.0687374,.01211132,.07312085,-.03069307,-.05770616
19,90,.14393477,-.21913572,-.401161,-.09565501,5,.02401023,.08046508,.01035861,.0879087,-.03154125,-.05774102
19,91,.13334426,-.27745387,-.47364802,-.0480553,6,.03849033,.11217122,.00889035,.13141548,-.03699688,-.06315824
19,92,.11106973,-.35949303,-.48070308,-.0736788,7,.06461762,.11553772,.00616824,.17280941,-.03992879,-.05339156
19,93,.09652152,-.25083142,-.40611177,-.01726681,8,.0314582,.08246338,.0046582,.10186559,-.02421063,-.03919853
19,94,.08908127,-.30034219,-.33763963,.00613368,9,.04510272,.05700026,.00396774,.10140743,-.02675487,-.03007737
19,95,.0654015,-.38678709,-.28673478,.03792462,10,.07480213,.04110842,.00213868,.11090531,-.02529646,-.01875289
19,96,.05323314,-.31876551,-.37447912,.07774659,11,.05080573,.07011731,.00141688,.11937103,-.01696889,-.0199347
20,86,-.13173636,-.16792448,-.26884628,-.19637034,1,.01409932,.03613916,.00867723,.04514587,.02212176,.03541683
20,87,-.15788011,-.47238722,-.25028171,-.03192953,2,.11157484,.03132047,.01246306,.11822988,.07458055,.0395145
20,88,-.18264176,-.23610981,-.16958052,.05538518,3,.02787392,.01437878,.01667901,.04003962,.04312351,.03097248
20,89,-.20941673,-.3228555,-.4215357,-.07271317,4,.05211784,.08884617,.02192768,.13609512,.06761134,.08827663
20,90,-.23576419,-.34170227,-.44737299,-.04035253,5,.05838022,.1000713,.02779238,.15286837,.08056116,.10547453
20,91,-.26779417,-.25891487,-.36386504,.04519589,6,.03351845,.06619888,.03585686,.09421007,.06933589,.09744094
20,92,-.26312248,-.28050463,-.41820463,.0114787,7,.03934142,.08744756,.03461672,.11730833,.07380707,.11003904
20,93,-.27789113,-.37808717,-.3189635,.09829301,8,.07147496,.05086886,.03861174,.12059601,.10506707,.08863713
20,94,-.29567054,-.35854873,-.36666371,.13412253,9,.06427859,.06722114,.04371053,.1314668,.10601229,.10841165
20,95,-.17416464,-.30034219,-.25775399,.11486972,10,.04510272,.03321856,.01516666,.0774144,.05230899,.04489163
20,96,-.17188841,-.31695314,-.32274543,.19381382,11,.05022965,.05208231,.01477281,.10229518,.05448057,.0554762
21,86,-.44767692,.28600879,-.60135088,-.49578722,1,.04090051,.18081144,.10020731,-.17199164,-.12803953,.26921091
21,87,-.45649159,.27879935,-.69883899,-.44487168,2,.03886454,.24418797,.10419229,-.19483585,-.12726956,.31901412
21,88,-.43389455,.23337177,-.65630134,-.44083739,3,.02723119,.21536573,.09413224,-.15316221,-.10125874,.28476557
21,89,-.43313525,.08745518,-.70956246,-.32470835,4,.0038242,.25173944,.09380307,-.06205492,-.03787992,.30733651
21,90,-.46156591,-.04340393,-.64738215,-.22631667,5,.00094195,.20955183,.10652154,.02809893,.02003377,.29880953
21,91,.08122024,.04392307,-.64649901,-.15283033,6,.00096462,.20898048,.00329836,-.02839622,.00356744,-.05250881
21,92,.06655601,-.06745108,-.63654416,-.13718862,7,.00227482,.20259424,.00221485,.04293559,-.00448928,-.04236584
21,93,.041993,-.150526,-.4626681,-.09788058,8,.01132904,.10703089,.00088171,.06964358,-.00632104,-.01942882
21,94,.01868038,-.18642533,-.54200102,-.12531523,9,.0173772,.14688255,.00017448,.10104272,-.0034825,-.01012478
